1,1,0,1,1,0,1,1,2,1,
2,1,1,1.41421,2,2,4,8,4,2,
3,1,1.58496,1.73205,3,4.75489,9,27,8,6,
5,1,2.32193,2.23607,5,11.6096,25,125,32,120,
10,1,3.32193,3.16228,10,33.2193,100,1000,1024,3.6288e+006,
15,1,3.90689,3.87298,15,58.6034,225,3375,32768,1.30767e+012,
20,1,4.32193,4.47214,20,86.4386,400,8000,1.04858e+006,2.4329e+018,
25,1,4.64386,5,25,116.096,625,15625,3.35544e+007,1.55112e+025,
30,1,4.90689,5.47723,30,147.207,900,27000,1.07374e+009,2.65253e+032,
35,1,5.12928,5.91608,35,179.525,1225,42875,3.43597e+010,1.03331e+040,
40,1,5.32193,6.32456,40,212.877,1600,64000,1.09951e+012,8.15915e+047,
45,1,5.49185,6.7082,45,247.133,2025,91125,3.51844e+013,1.19622e+056,
50,1,5.64386,7.07107,50,282.193,2500,125000,1.1259e+015,3.04141e+064,
